지번,lat,lng,비고
230,36.6238193,127.9063968,
231,36.6238079,127.9070468,
231-1,36.6238329,127.9077403,
233,36.6238303,127.9084045,
234,36.624527,127.909618,이상치(시연용)
235,36.6238292,127.9097543,
235-1,36.6242689,127.9003351,
237,36.6242886,127.9010002,
238,36.6242748,127.9016845,
239,36.6242642,127.9023465,
239-1,36.624282,127.9030212,
241,36.6242721,127.9036891,
242,36.6242751,127.9043626,
243,36.624272,127.9050187,
243-1,36.6242821,127.9056986,
245,36.6242794,127.906371,
246,36.6242713,127.9070683,
247,36.6235045,127.9085836,이상치(시연용)
247-1,36.6242718,127.9084168,
249,36.6242648,127.9090636,
250,36.6242629,127.9097409,
251,36.6247356,127.9003234,
251-1,36.6247338,127.9009972,
253,36.6247264,127.9016959,
254,36.6247416,127.9023566,
255,36.6247187,127.9030197,
255-1,36.6247244,127.9036783,
257,36.6247327,127.9043816,
258,36.6247164,127.905026,
259,36.6247267,127.9057025,
259-1,36.6253687,127.9069834,이상치(시연용)
261,36.6247233,127.9070535,
262,36.6247409,127.9077284,
263,36.6247246,127.9084009,
263-1,36.6247276,127.909047,
265,36.6247114,127.9097156,
266,36.6251803,127.9003453,
267,36.6251586,127.9010056,
267-1,36.6251679,127.9016747,
269,36.6251943,127.9023575,
270,36.625167,127.9030244,
271,36.6251735,127.9036804,
271-1,36.6251636,127.9043631,
273,36.6258545,127.9059611,이상치(시연용)
274,36.6251786,127.9057028,
275,36.6251705,127.9063782,
275-1,36.6251623,127.9070474,
277,36.6251811,127.9077066,
278,36.6251759,127.9083921,
279,36.6251584,127.909077,
279-1,36.6256255,127.900327,
281,36.6256205,127.9010117,
282,36.6256258,127.9016904,
283,36.6256155,127.9023368,
283-1,36.6256281,127.903031,
285,36.625636,127.9036722,
286,36.6260253,127.9051282,이상치(시연용)
287,36.6256223,127.905065,
287-1,36.6256181,127.9057259,
289,36.6256089,127.9063815,
290,36.6256327,127.9070469,
291,36.6256335,127.9077087,
291-1,36.6256145,127.9083981,
293,36.6260697,127.9003302,
294,36.626069,127.9010068,
295,36.6260711,127.9016696,
295-1,36.6260622,127.9023389,
297,36.6260818,127.9030214,
298,36.6260738,127.9036764,
299,36.625426,127.9034584,이상치(시연용)
299-1,36.6260773,127.9050278,
301,36.626067,127.9057056,
302,36.6260724,127.9063862,
303,36.6260734,127.907058,
303-1,36.6260729,127.9077106,
